job_id,submit_time,wait_time,runtime,allocated_CPUs,avg_CPU_time_used,used_memory,requested_CPUs,requested_time,requested_memory,status,user_id,group_id,executable_number,queue_number,partition_number,preceding_job_number,think_time_from_preceding_job,CPU_time,start_time,end_time,num_running_jobs,running_job_requested_CPUs,running_job_requested_CPU_time,running_job_requested_wallclock_limit,running_job_nodes_assigned,running_job_mean_CPUs,running_job_mean_CPU_time,running_job_mean_wallclock_limit,elapsed_runtime_total,elapsed_runtime_mean,num_waiting_jobs,waiting_job_requested_CPUs,waiting_job_requested_CPU_time,waiting_job_requested_wallclock_limit,waiting_job_mean_CPUs,waiting_job_mean_CPU_time,waiting_job_mean_wallclock_limit,elapsed_waiting_time_total,elapsed_waiting_time_mean,should_wait_runtime_predicted,should_wait_runtime_actual,should_wait_runtime_predicted_5,should_wait_runtime_predicted_10,should_wait_runtime_predicted_15,should_wait_runtime_predicted_30,should_wait_runtime_predicted_60
238,18388107,1256,3929,4096,-1,-1,1024,3600,-1,-1,230,-1,-1,2,-1,-1,-1,3686400,18389363,18393292,31,136691,1860984000,687600,,4409.387097,60031741.94,22180.64516,256191,8264.225806,35,340343,3363801600,532500,9724.085714,96108617.14,15214.28571,406535,11615.28571,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
239,18388464,5,1502,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18388469,18389971,27,130291,1808913600,660600,,4825.592593,66996800,24466.66667,257614,9541.259259,34,329079,3356428800,534300,9678.794118,98718494.12,15714.70588,409901,12055.91176,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
240,18388471,11,1512,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18388482,18389994,28,132339,1831032000,671400,,4726.392857,65394000,23978.57143,257805,9207.321429,34,329079,3356428800,534300,9678.794118,98718494.12,15714.70588,410139,12062.91176,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
241,18388646,19727,10174,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18408373,18418547,29,134387,1853150400,682200,,4634.034483,63901737.93,23524.13793,262568,9054.068966,33,324983,3352742400,533400,9847.969697,101598254.5,16163.63636,411862,12480.66667,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
242,18388725,29830,10148,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18418555,18428703,29,134387,1853150400,682200,,4634.034483,63901737.93,23524.13793,264457,9119.206897,33,318826,3381999600,550500,9661.393939,102484836.4,16681.81818,410267,12432.33333,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
243,18388791,39939,10169,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18428730,18438899,29,134387,1853150400,682200,,4634.034483,63901737.93,23524.13793,266371,9185.206897,34,320861,3418629600,568500,9437.088235,100547929.4,16720.58824,412511,12132.67647,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
244,18388837,50193,10177,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18439030,18449207,27,130291,1803998400,658200,,4825.592593,66814755.56,24377.77778,260103,9633.444444,35,322896,3455259600,586500,9225.6,98721702.86,16757.14286,414121,11832.02857,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
245,18388842,12,1509,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18388854,18390363,27,130291,1803998400,658200,,4825.592593,66814755.56,24377.77778,260238,9638.444444,36,324931,3491889600,604500,9025.861111,96996933.33,16791.66667,414301,11508.36111,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
246,18388908,60328,10138,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18449236,18459374,26,126195,1748702400,632100,,4853.653846,67257784.62,24311.53846,237306,9127.153846,36,324931,3491889600,604500,9025.861111,96996933.33,16791.66667,416677,11574.36111,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
247,18388973,70408,10155,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18459381,18469536,27,130291,1792939200,642900,,4825.592593,66405155.56,23811.11111,239041,8853.37037,36,322870,3484282800,611700,8968.611111,96785633.33,16991.66667,415241,11534.47222,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
248,18389022,80527,10150,2048,-1,-1,2035,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36630000,18469549,18479699,27,130291,1792939200,642900,,4825.592593,66405155.56,23811.11111,240364,8902.37037,37,324905,3520912800,629700,8781.216216,95159805.41,17018.91892,417054,11271.72973,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
249,18389357,19,377,512,-1,-1,96,900,-1,-1,76,-1,-1,3,-1,-1,-1,86400,18389376,18389753,25,124147,1743787200,621600,,4965.88,69751488,24864,242381,9695.24,37,318748,3528051600,644100,8614.810811,95352745.95,17408.10811,424271,11466.78378,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250,18389454,8,1517,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18389462,18390979,26,123219,1725441600,615300,,4739.192308,66363138.46,23665.38462,243330,9358.846154,36,317724,3524365200,640500,8825.666667,97899033.33,17791.66667,426513,11847.58333,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
251,18389530,3,329,256,-1,-1,32,1800,-1,-1,16,-1,-1,3,-1,-1,-1,57600,18389533,18389862,27,125267,1747560000,626100,,4639.518519,64724444.44,23188.88889,245374,9087.925926,36,317724,3524365200,640500,8825.666667,97899033.33,17791.66667,429249,11923.58333,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
252,18389908,23,194,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18389931,18390125,24,57587,1484510400,608400,,2399.458333,61854600,25350,245789,10241.20833,35,309532,3494874000,636900,8843.771429,99853542.86,18197.14286,436794,12479.82857,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
253,18389913,31,192,2048,-1,-1,2024,18000,-1,-1,16,-1,-1,2,-1,-1,-1,36432000,18389944,18390136,24,57587,1484510400,608400,,2399.458333,61854600,25350,245909,10246.20833,36,311556,3531306000,654900,8654.333333,98091833.33,18191.66667,436974,12138.16667,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
254,18390067,20,1489,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18390087,18391576,23,55491,1486104000,609600,,2412.652174,64613217.39,26504.34783,235790,10251.73913,35,309532,3494874000,636900,8843.771429,99853542.86,18197.14286,442359,12638.82857,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
255,18390074,26,1498,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18390100,18391598,23,55491,1486104000,609600,,2412.652174,64613217.39,26504.34783,235951,10258.73913,36,311580,3516992400,647700,8655,97694233.33,17991.66667,442611,12294.75,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
256,18390445,7,1512,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18390452,18391964,21,51443,1408324800,571200,,2449.666667,67063085.71,27200,235138,11197.04762,34,301340,3465382800,633300,8862.941176,101923023.5,18626.47059,448990,13205.58824,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
257,18390624,15,362,512,-1,-1,96,900,-1,-1,76,-1,-1,3,-1,-1,-1,86400,18390639,18391001,22,53491,1430443200,582000,,2431.409091,65020145.45,26454.54545,239069,10866.77273,34,301340,3465382800,633300,8862.941176,101923023.5,18626.47059,455076,13384.58824,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
258,18391062,6,1539,2048,-1,-1,2048,10800,-1,-1,1,-1,-1,2,-1,-1,-1,22118400,18391068,18392607,22,67827,1452561600,573900,,3083.045455,66025527.27,26086.36364,246684,11212.90909,32,276764,3391654800,627000,8648.875,105989212.5,19593.75,440472,13764.75,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
